,COPOD,DeepSVDD,HBOS,INNE,IsolationForest,KNN,LOF,LSCP,LUNAR,MCD,PCA,VAE,Ensemble-EM,Ensemble-Equal
COPOD,1.0,0.9988776085793676,0.9999999280521565,0.45479486559553983,0.8970237876085727,0.9999497677557807,0.999995542053108,0.9994816276520517,0.9999999999999665,0.8272340465876943,0.9999989741134601,0.9999999997463693,0.2617542203276535,0.062209708978502753
DeepSVDD,0.9988776085793676,1.0,0.9657735663859192,0.03262416309195404,0.22253447122834524,0.8559061777260072,0.9999999855199092,0.749727478375831,0.9997801753355162,0.15642155111966916,0.9999998827116883,0.9999710502052921,0.011517404523775476,0.0012124091829590622
HBOS,0.9999999280521565,0.9657735663859192,1.0,0.7846349422546146,0.9914078404329432,0.9999999988602071,0.9980936162910368,0.9999997060898963,0.9999978062591307,0.9774347424625903,0.9990678637938547,0.9999710502052921,0.5785959255346699,0.21337089147579402
INNE,0.45479486559553983,0.03262416309195404,0.7846349422546146,1.0,0.9999913449219956,0.9352651279836177,0.11156386187591005,0.9748613365190192,0.3518791560007708,0.999999547006503,0.13577776751487325,0.2617542203276535,0.9999999997463693,0.9998916108089986
IsolationForest,0.8970237876085727,0.22253447122834524,0.9914078404329432,0.9999913449219956,1.0,0.9995781344661119,0.48190313128201245,0.9999617107325205,0.8272340465876946,0.9999999999999665,0.5370016383294209,0.7375901244355337,0.9994816276520517,0.9622524011860973
KNN,0.9999497677557807,0.8559061777260072,0.9999999988602071,0.9352651279836177,0.9995781344661119,1.0,0.9774347424625903,0.9999999999993987,0.9996585597341097,0.9980936162910368,0.9857448150038306,0.998395095068774,0.8065323176802572,0.4150107334813514
LOF,0.999995542053108,0.9999999855199092,0.9980936162910368,0.11156386187591005,0.48190313128201245,0.9774347424625903,1.0,0.9405051696202087,0.9999998125938332,0.37658823409003594,1.0,0.99999999773346,0.04673557850548371,0.006555739803274951
LSCP,0.9994816276520517,0.749727478375831,0.9999997060898963,0.9748613365190192,0.9999617107325205,0.9999999999993987,0.9405051696202087,1.0,0.9977451399031535,0.9997252239580445,0.9584678870592392,0.9924889093898068,0.8970237876085724,0.5508682522732888
LUNAR,0.9999999999999665,0.9997801753355162,0.9999978062591307,0.3518791560007708,0.8272340465876946,0.9996585597341097,0.9999998125938332,0.9977451399031535,1.0,0.7375901244355332,0.9999999746721528,0.9999999999999665,0.18742936795461163,0.03913287384702313
MCD,0.8272340465876943,0.15642155111966916,0.9774347424625903,0.999999547006503,0.9999999999999665,0.9980936162910368,0.37658823409003594,0.9997252239580445,0.7375901244355332,1.0,0.42813708775430637,0.6335475633398306,0.9999155105923606,0.983942586599539
PCA,0.9999989741134601,0.9999998827116883,0.9990678637938547,0.13577776751487325,0.5370016383294209,0.9857448150038306,1.0,0.9584678870592392,0.9999999746721528,0.42813708775430637,1.0,0.9999999998889628,0.05881004761877673,0.008719546849323523
VAE,0.9999999997463693,0.9999710502052921,0.9999710502052921,0.2617542203276535,0.7375901244355337,0.998395095068774,0.99999999773346,0.9924889093898068,0.9999999999999665,0.6335475633398306,0.9999999998889628,1.0,0.12937740085245486,0.023863569112019145
Ensemble-EM,0.2617542203276535,0.011517404523775476,0.5785959255346699,0.9999999997463693,0.9994816276520517,0.8065323176802572,0.04673557850548371,0.8970237876085724,0.18742936795461163,0.9999155105923606,0.05881004761877673,0.12937740085245486,1.0,0.9999993130798634
Ensemble-Equal,0.062209708978502753,0.0012124091829590622,0.21337089147579402,0.9998916108089986,0.9622524011860973,0.4150107334813514,0.006555739803274951,0.5508682522732888,0.03913287384702313,0.983942586599539,0.008719546849323523,0.023863569112019145,0.9999993130798634,1.0
